customer_id,customer_type,segment,acquisition_channel,customer_since,location_category,age_band,business_size
C00034,Individual,Standard,Referral,2022-06-04,Suburban,26-35,
C00035,Individual,Budget,Walk-in,2025-01-14,Urban,65+,
C00036,SME,Budget,Sales Team,2025-08-11,Urban,,Large (51-200)
C00037,SME,Budget,Walk-in,2022-05-08,Urban,,Enterprise (200+)
C00038,Individual,Budget,Walk-in,2022-08-03,Urban,26-35,
C00039,Individual,Budget,Online,2025-09-25,Suburban,46-55,
C00040,Individual,Standard,Online,2022-10-04,Suburban,46-55,
C00041,Corporate,Budget,Referral,2022-04-21,Urban,,Medium (11-50)
C00042,Individual,Premium,Online,2025-08-26,Suburban,26-35,
C00043,SME,Standard,Referral,2025-06-03,Urban,,Large (51-200)
C00044,Individual,Standard,Walk-in,2024-07-07,Suburban,56-65,
C00045,Individual,New,Online,2024-02-12,Urban,18-25,
C00046,Individual,Budget,Online,2025-07-10,Suburban,36-45,
C00047,Corporate,Premium,Online,2024-07-06,Suburban,,Large (51-200)
C00048,Individual,Standard,Sales Team,2024-07-10,Urban,36-45,
C00049,Individual,Standard,Referral,2025-03-27,Suburban,26-35,
C00050,Individual,Budget,Referral,2024-07-03,Suburban,46-55,
C00051,Individual,Budget,Referral,2023-12-07,Urban,18-25,
C00052,Corporate,Standard,Walk-in,2023-06-30,Suburban,,Small (1-10)
C00053,Individual,Standard,Sales Team,2023-12-06,Other,56-65,
C00054,Individual,Standard,Online,2024-01-02,Suburban,56-65,
C00055,Individual,Standard,Sales Team,2023-05-21,Urban,26-35,
C00056,Individual,New,Online,2023-09-20,Suburban,26-35,
C00057,Individual,Budget,Walk-in,2025-01-27,Other,56-65,
C00058,Individual,Standard,Referral,2023-08-07,Suburban,56-65,
C00059,Individual,Standard,Online,2022-02-05,Urban,18-25,
C00060,Individual,Premium,Walk-in,2023-02-01,Urban,36-45,
C00061,Individual,Premium,Online,2022-11-21,Suburban,46-55,
C00062,Individual,Standard,Online,2025-01-16,Urban,36-45,
C00063,Individual,Standard,Walk-in,2023-09-22,Urban,18-25,
C00064,Individual,New,Sales Team,2023-01-28,Urban,56-65,
C00065,Individual,Standard,Online,2025-02-08,Suburban,18-25,
C00066,Individual,Standard,Walk-in,2022-01-27,Urban,56-65,
C00067,Individual,Premium,Walk-in,2022-09-01,Suburban,46-55,
C00068,Individual,Standard,Online,2025-03-03,Suburban,56-65,
C00069,Individual,Budget,Sales Team,2024-02-10,Other,36-45,
C00070,Individual,Standard,Online,2024-12-19,Suburban,56-65,
C00071,Individual,Budget,Walk-in,2025-03-19,Urban,46-55,
C00072,Individual,Budget,Referral,2025-08-11,Suburban,56-65,
C00073,Individual,Premium,Online,2022-03-30,Urban,26-35,
C00074,Individual,Budget,Online,2025-01-23,Other,18-25,
C00075,SME,New,Online,2024-09-19,Urban,,Medium (11-50)
C00076,Individual,Standard,Sales Team,2022-10-17,Suburban,46-55,
C00077,Individual,Premium,Sales Team,2025-07-28,Suburban,65+,
C00078,Individual,New,Referral,2023-07-20,Urban,18-25,
C00079,SME,New,Online,2025-05-27,Suburban,,Enterprise (200+)
C00080,Individual,Standard,Online,2024-04-27,Urban,46-55,
C00081,Individual,Standard,Online,2024-01-08,Urban,18-25,
C00082,Individual,Standard,Online,2022-08-12,Urban,18-25,
C00083,Individual,Budget,Sales Team,2025-07-04,Urban,18-25,
C00084,Individual,Standard,Walk-in,2024-02-19,Suburban,36-45,
C00085,SME,Premium,Referral,2022-01-09,Other,,Enterprise (200+)
C00086,SME,Budget,Online,2022-01-26,Urban,,Enterprise (200+)
C00087,Corporate,New,Walk-in,2024-12-24,Suburban,,Enterprise (200+)
C00088,Individual,Budget,Online,2022-08-15,Suburban,65+,
C00089,Individual,Standard,Referral,2024-04-18,Suburban,36-45,
C00090,SME,Premium,Online,2024-08-11,Urban,,Medium (11-50)
C00091,Individual,New,Online,2023-01-27,Other,26-35,
C00092,SME,New,Referral,2024-03-08,Urban,,Large (51-200)
C00093,Individual,Standard,Walk-in,2022-12-03,Suburban,26-35,
C00094,Individual,Budget,Online,2025-08-17,Suburban,46-55,
C00095,Individual,Standard,Online,2025-04-19,Suburban,26-35,
C00096,SME,Standard,Online,2023-02-08,Urban,,Medium (11-50)
C00097,Individual,Premium,Sales Team,2024-01-11,Urban,56-65,
C00098,Individual,Premium,Referral,2023-12-02,Suburban,26-35,
C00099,Individual,Standard,Referral,2025-09-06,Urban,46-55,
C00100,Individual,Budget,Online,2023-07-06,Urban,18-25,
C00101,Individual,Premium,Online,2024-02-27,Suburban,46-55,
C00102,SME,Standard,Online,2025-07-24,Suburban,,Small (1-10)
C00103,Individual,Standard,Walk-in,2022-08-16,Urban,65+,
C00104,SME,Standard,Online,2024-02-10,Urban,,Small (1-10)
C00105,SME,Standard,Referral,2022-05-28,Other,,Medium (11-50)
C00106,Individual,Standard,Online,2024-05-14,Urban,26-35,
C00107,Individual,Standard,Walk-in,2023-05-27,Urban,56-65,
C00108,Individual,Budget,Sales Team,2025-09-16,Urban,36-45,
C00109,Individual,New,Walk-in,2023-08-05,Urban,36-45,
C00110,Individual,Standard,Online,2022-07-10,Other,18-25,
C00111,Corporate,New,Walk-in,2025-03-13,Urban,,Small (1-10)
C00112,Corporate,New,Walk-in,2025-02-23,Urban,,Small (1-10)
C00113,SME,Budget,Online,2024-08-30,Urban,,Enterprise (200+)
C00114,Individual,Budget,Online,2024-11-14,Urban,56-65,
C00115,Individual,Budget,Walk-in,2023-01-06,Urban,46-55,
C00116,SME,Budget,Online,2024-06-17,Other,,Medium (11-50)
C00117,Individual,Budget,Walk-in,2022-02-23,Suburban,65+,
C00118,Individual,Premium,Online,2022-10-03,Urban,65+,
C00119,Individual,New,Online,2025-07-29,Urban,18-25,
C00120,Individual,Standard,Referral,2024-10-31,Urban,46-55,
C00121,Individual,Budget,Walk-in,2022-11-19,Urban,56-65,
C00122,Individual,Standard,Sales Team,2022-06-05,Suburban,26-35,
C00123,Individual,Premium,Referral,2025-08-21,Urban,56-65,
C00124,SME,Standard,Online,2022-06-07,Suburban,,Small (1-10)
C00125,Corporate,Standard,Referral,2022-12-26,Suburban,,Small (1-10)
C00126,Individual,Standard,Referral,2022-09-13,Urban,46-55,
C00127,SME,Standard,Sales Team,2022-01-11,Other,,Medium (11-50)
C00128,Corporate,Standard,Online,2023-03-16,Urban,,Enterprise (200+)
C00129,Individual,Standard,Online,2025-09-25,Urban,65+,
C00130,Individual,Standard,Online,2023-04-24,Suburban,46-55,
C00131,Individual,New,Sales Team,2023-12-08,Urban,65+,
C00132,Individual,Standard,Online,2024-11-10,Suburban,65+,
C00133,SME,Standard,Walk-in,2024-02-11,Suburban,,Enterprise (200+)
C00134,Individual,Standard,Online,2024-11-07,Urban,56-65,
C00135,Individual,Standard,Referral,2024-07-15,Suburban,36-45,
C00136,Individual,Standard,Walk-in,2024-05-01,Urban,36-45,
C00137,Individual,Budget,Referral,2024-06-28,Suburban,26-35,
C00138,Corporate,New,Walk-in,2025-01-23,Urban,,Large (51-200)
C00139,Individual,Standard,Online,2024-09-21,Urban,26-35,
C00140,Individual,Budget,Walk-in,2025-01-13,Urban,56-65,
C00141,Individual,Premium,Walk-in,2022-07-23,Suburban,36-45,
C00142,Individual,Standard,Walk-in,2024-08-06,Urban,65+,
C00143,Individual,Standard,Referral,2024-10-28,Suburban,36-45,
C00144,Individual,Premium,Walk-in,2023-02-24,Urban,65+,
C00145,Individual,Budget,Sales Team,2025-05-09,Urban,65+,
C00146,Individual,Budget,Online,2023-03-03,Urban,36-45,
C00147,SME,Budget,Online,2022-12-08,Urban,,Enterprise (200+)
C00148,Individual,Standard,Walk-in,2025-04-28,Other,26-35,
C00149,Individual,Budget,Referral,2022-12-12,Urban,46-55,
C00150,Individual,Standard,Walk-in,2023-08-05,Suburban,36-45,
C00151,SME,Premium,Walk-in,2023-05-31,Suburban,,Large (51-200)
C00152,Individual,Premium,Referral,2025-06-11,Urban,65+,
C00153,Individual,Budget,Online,2023-09-30,Suburban,56-65,
C00154,Individual,New,Online,2024-08-30,Suburban,26-35,
C00155,Individual,Premium,Online,2025-01-16,Suburban,36-45,
C00156,SME,Standard,Sales Team,2024-05-29,Urban,,Large (51-200)
C00157,Individual,Budget,Referral,2025-08-14,Suburban,65+,
C00158,SME,Budget,Online,2025-01-28,Suburban,,Large (51-200)
C00159,SME,Standard,Walk-in,2023-07-15,Urban,,Medium (11-50)
C00160,Individual,Budget,Referral,2025-08-24,Suburban,26-35,
C00161,Corporate,Budget,Walk-in,2024-01-05,Urban,,Large (51-200)
C00162,Individual,New,Referral,2022-02-01,Suburban,46-55,
C00163,SME,Premium,Online,2022-12-31,Other,,Medium (11-50)
C00164,Individual,New,Referral,2024-05-20,Other,18-25,
C00165,Individual,Premium,Walk-in,2022-08-08,Suburban,36-45,
C00166,Individual,Budget,Walk-in,2024-03-28,Suburban,18-25,
C00167,Individual,Premium,Walk-in,2023-05-22,Suburban,26-35,
C00168,Individual,Standard,Sales Team,2024-01-19,Urban,26-35,
C00169,Corporate,Premium,Walk-in,2022-01-03,Urban,,Large (51-200)
C00170,Individual,Standard,Walk-in,2025-04-02,Urban,46-55,
C00171,Individual,Standard,Online,2023-05-22,Urban,36-45,
C00172,Individual,Standard,Sales Team,2022-07-16,Other,26-35,
C00173,Individual,Standard,Walk-in,2023-09-06,Suburban,46-55,
C00174,Individual,Standard,Sales Team,2023-11-12,Urban,65+,
C00175,Corporate,Budget,Online,2024-06-11,Urban,,Small (1-10)
C00176,Individual,New,Online,2024-01-05,Suburban,46-55,
C00177,Individual,Budget,Walk-in,2022-03-02,Urban,36-45,
C00178,Individual,Premium,Online,2025-05-05,Suburban,36-45,
C00179,Individual,Standard,Online,2023-10-02,Other,26-35,
C00180,Individual,New,Sales Team,2022-04-18,Urban,26-35,
C00181,SME,Premium,Online,2024-12-17,Urban,,Enterprise (200+)
C00182,Individual,Standard,Referral,2024-07-13,Urban,56-65,
C00183,Corporate,New,Online,2024-06-28,Urban,,Large (51-200)
C00184,Individual,New,Online,2023-08-21,Urban,18-25,
C00185,Individual,Standard,Walk-in,2023-07-29,Urban,65+,
C00186,SME,Budget,Sales Team,2024-01-21,Urban,,Enterprise (200+)
C00187,Corporate,Standard,Sales Team,2022-03-12,Urban,,Small (1-10)
C00188,SME,Budget,Walk-in,2023-02-23,Urban,,Medium (11-50)
C00189,Corporate,Premium,Walk-in,2025-10-15,Suburban,,Medium (11-50)
C00190,SME,Premium,Online,2024-07-16,Urban,,Large (51-200)
C00191,SME,Budget,Sales Team,2023-08-10,Suburban,,Enterprise (200+)
C00192,Individual,Standard,Online,2022-11-08,Urban,18-25,
C00193,SME,Budget,Referral,2024-11-09,Urban,,Large (51-200)
C00194,Individual,Standard,Sales Team,2022-12-31,Urban,65+,
C00195,Individual,New,Sales Team,2022-08-16,Suburban,26-35,
C00196,Individual,Budget,Online,2022-08-05,Urban,26-35,
C00197,Corporate,Standard,Walk-in,2024-10-17,Urban,,Large (51-200)
C00198,Corporate,Budget,Online,2024-06-18,Urban,,Enterprise (200+)
C00199,Individual,Standard,Online,2022-04-08,Other,46-55,
C00200,SME,Standard,Online,2022-06-11,Urban,,Enterprise (200+)
C00201,SME,Standard,Referral,2024-06-06,Urban,,Enterprise (200+)
C00202,Individual,New,Online,2024-03-10,Suburban,36-45,
C00203,Individual,Budget,Online,2024-08-18,Urban,65+,
C00204,Individual,New,Online,2022-09-07,Urban,65+,
C00205,SME,New,Online,2024-10-14,Suburban,,Small (1-10)
C00206,Individual,New,Sales Team,2025-08-03,Urban,26-35,
C00207,Corporate,Standard,Walk-in,2024-04-21,Urban,,Small (1-10)
C00208,Individual,New,Sales Team,2022-10-02,Urban,46-55,
C00209,Corporate,Standard,Referral,2024-08-09,Urban,,Large (51-200)
C00210,Individual,Standard,Walk-in,2023-04-26,Other,56-65,
C00211,SME,Standard,Walk-in,2022-03-11,Suburban,,Enterprise (200+)
C00212,Individual,Standard,Online,2023-02-28,Suburban,46-55,
C00213,Individual,Standard,Referral,2025-06-21,Urban,26-35,
C00214,SME,Standard,Online,2023-07-30,Suburban,,Enterprise (200+)
C00215,Corporate,Premium,Online,2025-04-25,Suburban,,Small (1-10)
C00216,SME,Standard,Online,2023-12-14,Urban,,Medium (11-50)
C00217,Individual,New,Online,2023-12-25,Suburban,36-45,
C00218,Individual,Budget,Online,2022-01-08,Suburban,65+,
C00219,Individual,Standard,Walk-in,2024-06-10,Suburban,36-45,
C00220,Individual,Standard,Referral,2022-05-31,Urban,18-25,
C00221,Individual,Standard,Online,2023-11-02,Urban,46-55,
C00222,SME,Standard,Walk-in,2022-12-31,Suburban,,Large (51-200)
C00223,SME,Budget,Referral,2023-07-04,Suburban,,Small (1-10)
C00224,SME,Standard,Online,2024-01-22,Urban,,Small (1-10)
C00225,SME,Budget,Online,2022-01-21,Urban,,Small (1-10)
C00226,SME,Budget,Referral,2023-02-03,Suburban,,Large (51-200)
C00227,Individual,Standard,Online,2025-10-17,Urban,26-35,
C00228,Individual,New,Referral,2022-03-22,Urban,26-35,
C00229,Individual,Standard,Online,2023-03-24,Suburban,26-35,
C00230,SME,New,Sales Team,2023-03-26,Urban,,Enterprise (200+)
C00231,Individual,Budget,Sales Team,2023-06-16,Urban,46-55,
C00232,Individual,Budget,Online,2024-08-16,Urban,18-25,
C00233,Individual,Budget,Online,2022-12-13,Other,36-45,
C00234,Individual,Budget,Online,2023-10-07,Urban,18-25,
C00235,Individual,New,Walk-in,2024-06-21,Suburban,26-35,
C00236,SME,Standard,Walk-in,2023-03-28,Other,,Large (51-200)
C00237,Individual,Budget,Referral,2025-08-21,Suburban,65+,
C00238,Individual,Budget,Referral,2025-10-03,Urban,36-45,
C00239,SME,Standard,Online,2022-06-17,Urban,,Small (1-10)
C00240,Individual,New,Sales Team,2023-04-27,Urban,26-35,
C00241,SME,Standard,Sales Team,2022-10-19,Suburban,,Small (1-10)
C00242,Individual,Standard,Referral,2022-09-19,Other,46-55,
C00243,Individual,Premium,Online,2023-11-19,Suburban,18-25,
C00244,Individual,Standard,Referral,2024-02-29,Urban,65+,
C00245,Individual,Budget,Walk-in,2023-08-19,Urban,26-35,
C00246,SME,Standard,Sales Team,2023-01-17,Suburban,,Medium (11-50)
C00247,Individual,Standard,Online,2023-01-26,Urban,65+,
C00248,Individual,Standard,Referral,2025-10-20,Suburban,36-45,
C00249,Individual,Standard,Online,2025-07-17,Urban,65+,
C00250,SME,Budget,Online,2022-04-17,Suburban,,Medium (11-50)
C00251,SME,New,Walk-in,2024-07-08,Suburban,,Medium (11-50)
C00252,Corporate,Premium,Online,2023-10-02,Urban,,Medium (11-50)
C00253,Individual,Standard,Sales Team,2024-08-22,Urban,26-35,
C00254,Individual,Standard,Online,2024-04-15,Suburban,26-35,
C00255,Individual,Budget,Referral,2025-05-29,Urban,18-25,
C00256,Individual,Standard,Online,2022-04-04,Urban,18-25,
C00257,Corporate,Standard,Referral,2023-05-05,Urban,,Large (51-200)
C00258,SME,Standard,Online,2025-10-11,Urban,,Medium (11-50)
C00259,Individual,Standard,Walk-in,2022-09-13,Suburban,36-45,
C00260,Individual,Standard,Referral,2022-06-28,Urban,36-45,
C00261,Corporate,Standard,Referral,2024-10-17,Urban,,Small (1-10)
C00262,Individual,Budget,Referral,2024-12-24,Suburban,26-35,
C00263,Individual,Budget,Referral,2024-07-30,Urban,56-65,
C00264,Individual,Standard,Sales Team,2024-12-22,Urban,56-65,
C00265,Individual,Budget,Sales Team,2024-08-29,Suburban,26-35,
C00266,Individual,New,Referral,2022-07-10,Suburban,36-45,
C00267,Individual,Standard,Walk-in,2024-05-01,Suburban,46-55,
C00268,Individual,Standard,Walk-in,2024-12-23,Suburban,26-35,
C00269,Individual,Standard,Sales Team,2025-04-26,Urban,36-45,
C00270,Individual,Budget,Online,2022-12-11,Urban,56-65,
C00271,Individual,Standard,Online,2022-06-28,Other,36-45,
C00272,Corporate,Budget,Online,2024-12-29,Suburban,,Enterprise (200+)
C00273,SME,Standard,Sales Team,2022-12-26,Suburban,,Small (1-10)
C00274,Individual,Standard,Walk-in,2022-02-14,Urban,18-25,
C00275,Individual,New,Online,2025-03-01,Urban,56-65,
C00276,SME,Standard,Online,2023-12-10,Urban,,Large (51-200)
C00277,Individual,New,Walk-in,2023-04-03,Suburban,26-35,
C00278,Individual,New,Sales Team,2022-01-17,Suburban,56-65,
C00279,Corporate,New,Online,2022-02-19,Urban,,Small (1-10)
C00280,Individual,Standard,Walk-in,2025-01-14,Urban,46-55,
C00281,SME,Budget,Online,2023-11-17,Urban,,Small (1-10)
C00282,Individual,Premium,Online,2022-07-29,Urban,36-45,
C00283,Individual,Standard,Online,2023-05-17,Suburban,46-55,
C00284,Individual,New,Walk-in,2022-08-20,Suburban,26-35,
C00285,Individual,Budget,Sales Team,2022-06-08,Urban,36-45,
C00286,Individual,Standard,Online,2023-01-22,Suburban,26-35,
C00287,Individual,Standard,Online,2024-02-09,Other,36-45,
C00288,SME,Budget,Online,2022-10-22,Urban,,Large (51-200)
C00289,Individual,Budget,Referral,2023-04-27,Urban,36-45,
C00290,Individual,Standard,Online,2023-11-01,Urban,18-25,
C00291,SME,New,Referral,2023-08-12,Urban,,Large (51-200)
C00292,SME,Standard,Online,2022-06-30,Urban,,Large (51-200)
C00293,Individual,Standard,Referral,2022-02-24,Suburban,46-55,
C00294,Individual,Budget,Online,2022-02-19,Urban,26-35,
C00295,Corporate,New,Walk-in,2023-05-06,Urban,,Large (51-200)
C00296,Individual,Standard,Online,2024-10-03,Suburban,36-45,
C00297,SME,Standard,Walk-in,2022-07-03,Urban,,Medium (11-50)
C00298,Corporate,Premium,Sales Team,2025-01-06,Suburban,,Small (1-10)
C00299,SME,New,Online,2024-09-28,Suburban,,Medium (11-50)
C00300,Individual,Standard,Referral,2022-01-06,Suburban,56-65,
C00301,Individual,Standard,Online,2022-02-07,Suburban,36-45,
C00302,Individual,New,Online,2022-10-01,Suburban,46-55,
C00303,Individual,Premium,Online,2022-03-20,Suburban,18-25,
C00304,Corporate,Standard,Referral,2024-01-14,Urban,,Enterprise (200+)
C00305,Individual,Standard,Online,2022-02-25,Urban,36-45,
C00306,Individual,Budget,Online,2025-01-28,Urban,26-35,
C00307,Individual,Standard,Online,2023-11-22,Urban,65+,
C00308,Corporate,Standard,Walk-in,2024-10-16,Urban,,Medium (11-50)
C00309,Individual,Standard,Referral,2024-11-16,Urban,56-65,
C00310,Individual,Budget,Online,2023-12-11,Urban,36-45,
C00311,Individual,Budget,Walk-in,2025-07-19,Urban,65+,
C00312,Individual,Premium,Online,2025-10-18,Urban,56-65,
C00313,Individual,Standard,Walk-in,2023-05-18,Suburban,18-25,
C00314,Individual,New,Online,2022-06-26,Suburban,65+,
C00315,Individual,Premium,Online,2023-05-24,Suburban,18-25,
C00316,Individual,Standard,Sales Team,2022-11-09,Urban,18-25,
C00317,Individual,Standard,Online,2024-01-14,Suburban,46-55,
C00318,Individual,Standard,Online,2023-06-14,Suburban,56-65,
C00319,Individual,Standard,Sales Team,2023-11-04,Urban,65+,
C00320,Individual,Standard,Walk-in,2024-12-04,Other,18-25,
C00321,Individual,Standard,Walk-in,2023-01-19,Urban,56-65,
C00322,Individual,Standard,Referral,2024-01-23,Suburban,56-65,
C00323,Individual,Budget,Referral,2023-04-15,Suburban,18-25,
C00324,Individual,Standard,Walk-in,2025-01-03,Urban,56-65,
C00325,Individual,Premium,Online,2024-06-14,Suburban,36-45,
C00326,Individual,Budget,Online,2022-01-12,Urban,56-65,
C00327,SME,Standard,Walk-in,2024-07-13,Urban,,Large (51-200)
C00328,Individual,Budget,Online,2022-08-27,Urban,56-65,
C00329,Individual,Standard,Referral,2024-10-11,Urban,65+,
C00330,Individual,Budget,Referral,2024-03-05,Urban,56-65,
C00331,Individual,Standard,Online,2023-07-17,Suburban,56-65,
C00332,Individual,Standard,Walk-in,2024-08-29,Urban,56-65,
C00333,SME,Standard,Sales Team,2025-04-14,Urban,,Small (1-10)
C00334,SME,Premium,Referral,2024-12-26,Suburban,,Enterprise (200+)
C00335,Individual,Standard,Referral,2024-02-03,Urban,46-55,
C00336,Individual,Budget,Online,2024-10-08,Urban,36-45,
C00337,Individual,Budget,Online,2023-08-03,Suburban,56-65,
C00338,Individual,Premium,Online,2025-01-09,Other,26-35,
C00339,Individual,New,Sales Team,2025-03-06,Urban,26-35,
C00340,Individual,Budget,Online,2022-07-12,Urban,65+,
C00341,Individual,New,Online,2022-11-30,Suburban,26-35,
C00342,Corporate,Budget,Sales Team,2023-01-13,Suburban,,Medium (11-50)
C00343,Individual,Budget,Referral,2022-08-21,Urban,18-25,
C00344,Individual,Standard,Sales Team,2023-07-04,Urban,26-35,
C00345,SME,Budget,Online,2022-09-28,Urban,,Enterprise (200+)
C00346,Individual,New,Online,2024-04-13,Suburban,18-25,
C00347,Individual,Premium,Sales Team,2022-05-23,Other,56-65,
C00348,Individual,Standard,Online,2023-01-13,Suburban,18-25,
C00349,Corporate,Premium,Online,2024-07-20,Urban,,Enterprise (200+)
C00350,Individual,New,Online,2023-07-12,Suburban,56-65,
C00351,Individual,Standard,Walk-in,2023-08-14,Suburban,18-25,
C00352,Individual,Budget,Online,2025-01-22,Urban,65+,
C00353,Individual,Budget,Online,2025-10-10,Suburban,18-25,
C00354,Individual,New,Walk-in,2024-03-02,Urban,46-55,
C00355,Individual,Standard,Walk-in,2022-04-21,Urban,65+,
C00356,Individual,Budget,Online,2022-05-25,Suburban,26-35,
C00357,Individual,New,Referral,2025-09-17,Urban,46-55,
C00358,SME,Premium,Online,2024-08-08,Other,,Medium (11-50)
C00359,Individual,Budget,Referral,2024-11-19,Urban,18-25,
C00360,SME,Standard,Referral,2024-08-04,Urban,,Small (1-10)
C00361,Individual,Budget,Online,2022-09-09,Urban,46-55,
C00362,Individual,Standard,Referral,2023-09-20,Urban,18-25,
C00363,SME,Standard,Online,2025-01-22,Urban,,Medium (11-50)
C00364,SME,Premium,Walk-in,2025-04-27,Suburban,,Small (1-10)
C00365,Individual,Premium,Online,2022-11-29,Urban,26-35,
C00366,Corporate,Premium,Sales Team,2024-04-14,Urban,,Medium (11-50)
C00367,Individual,Budget,Sales Team,2022-08-08,Suburban,46-55,
C00368,Individual,Standard,Online,2025-09-03,Urban,18-25,
C00369,Corporate,Standard,Sales Team,2022-12-20,Suburban,,Medium (11-50)
C00370,Individual,Budget,Sales Team,2024-10-14,Urban,18-25,
C00371,SME,Budget,Online,2022-11-20,Urban,,Small (1-10)
C00372,Individual,Standard,Walk-in,2024-05-12,Suburban,18-25,
C00373,SME,New,Referral,2024-07-11,Suburban,,Medium (11-50)
C00374,Individual,Standard,Walk-in,2023-04-05,Suburban,65+,
C00375,Individual,Budget,Online,2025-02-20,Urban,56-65,
C00376,Individual,Premium,Referral,2025-05-24,Urban,26-35,
C00377,Individual,Budget,Online,2025-04-12,Suburban,26-35,
C00378,Individual,New,Sales Team,2023-04-09,Suburban,46-55,
C00379,Individual,Budget,Online,2024-11-08,Suburban,46-55,
C00380,Individual,Standard,Referral,2024-02-23,Suburban,36-45,
C00381,Individual,Budget,Referral,2024-04-09,Suburban,36-45,
C00382,Individual,Standard,Online,2023-10-31,Urban,46-55,
C00383,SME,Budget,Walk-in,2024-04-20,Suburban,,Medium (11-50)
C00384,SME,Budget,Walk-in,2022-07-09,Urban,,Medium (11-50)
C00385,SME,New,Online,2023-07-27,Urban,,Small (1-10)
C00386,Individual,Standard,Online,2022-09-06,Suburban,65+,
C00387,SME,Premium,Referral,2023-01-28,Urban,,Large (51-200)
C00388,Individual,Standard,Online,2022-06-28,Urban,65+,
C00389,Individual,Premium,Walk-in,2022-10-25,Suburban,36-45,
C00390,Individual,Standard,Walk-in,2024-12-30,Suburban,26-35,
C00391,Individual,Standard,Online,2024-02-09,Urban,56-65,
C00392,Individual,Budget,Online,2022-02-03,Other,18-25,
C00393,Individual,Standard,Online,2025-01-08,Urban,26-35,
C00394,Corporate,Standard,Online,2025-06-27,Suburban,,Enterprise (200+)
C00395,Individual,Premium,Online,2025-05-17,Urban,65+,
C00396,Individual,New,Walk-in,2025-02-26,Urban,36-45,
C00397,Corporate,Budget,Online,2025-10-21,Urban,,Medium (11-50)
C00398,Individual,Premium,Sales Team,2024-03-31,Urban,18-25,
C00399,Individual,Premium,Online,2025-09-09,Urban,46-55,
C00400,SME,Standard,Referral,2025-08-21,Urban,,Medium (11-50)
C00401,SME,Standard,Online,2023-03-15,Suburban,,Large (51-200)
C00402,Individual,Standard,Online,2025-04-23,Urban,46-55,
C00403,Individual,Standard,Online,2025-01-14,Urban,26-35,
C00404,Individual,New,Online,2024-12-22,Other,56-65,
C00405,Individual,Standard,Walk-in,2025-06-08,Suburban,18-25,
C00406,Individual,Budget,Online,2023-06-22,Other,18-25,
C00407,Individual,Premium,Walk-in,2023-07-15,Urban,56-65,
C00408,Individual,New,Walk-in,2024-06-15,Urban,56-65,
C00409,SME,New,Online,2024-10-29,Suburban,,Enterprise (200+)
C00410,Individual,Budget,Online,2025-05-16,Suburban,46-55,
C00411,Individual,Standard,Referral,2025-05-11,Urban,18-25,
C00412,Individual,Standard,Online,2024-10-06,Suburban,46-55,
C00413,SME,Budget,Walk-in,2025-09-01,Suburban,,Large (51-200)
C00414,Individual,Budget,Sales Team,2022-09-08,Suburban,56-65,
C00415,Individual,Standard,Online,2025-08-23,Urban,18-25,
C00416,Individual,Standard,Online,2022-03-31,Suburban,46-55,
